Year,Region,gruppe.betrieb,Value
2008,Enzkreis,Konventionell bewirtschaftete Fläche [%],91
2010,Enzkreis,Konventionell bewirtschaftete Fläche [%],90
2013,Enzkreis,Konventionell bewirtschaftete Fläche [%],89
2015,Enzkreis,Konventionell bewirtschaftete Fläche [%],89
2016,Enzkreis,Konventionell bewirtschaftete Fläche [%],85
2017,Enzkreis,Konventionell bewirtschaftete Fläche [%],86
2018,Enzkreis,Konventionell bewirtschaftete Fläche [%],83
2019,Enzkreis,Konventionell bewirtschaftete Fläche [%],82
2020,Enzkreis,Konventionell bewirtschaftete Fläche [%],81
2021,Enzkreis,Konventionell bewirtschaftete Fläche [%],81
2008,Enzkreis,Ökologisch bewirtschaftete Fläche [%],9
2010,Enzkreis,Ökologisch bewirtschaftete Fläche [%],10
2013,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11
2015,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11
2016,Enzkreis,Ökologisch bewirtschaftete Fläche [%],15
2017,Enzkreis,Ökologisch bewirtschaftete Fläche [%],14
2018,Enzkreis,Ökologisch bewirtschaftete Fläche [%],17
2019,Enzkreis,Ökologisch bewirtschaftete Fläche [%],18
2020,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19
2021,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19
2008,Land BW,Ökologisch bewirtschaftete Fläche [%],7
2010,Land BW,Ökologisch bewirtschaftete Fläche [%],7
2013,Land BW,Ökologisch bewirtschaftete Fläche [%],8
2015,Land BW,Ökologisch bewirtschaftete Fläche [%],8
2016,Land BW,Ökologisch bewirtschaftete Fläche [%],11
2017,Land BW,Ökologisch bewirtschaftete Fläche [%],11
2018,Land BW,Ökologisch bewirtschaftete Fläche [%],12
2019,Land BW,Ökologisch bewirtschaftete Fläche [%],14
2020,Land BW,Ökologisch bewirtschaftete Fläche [%],13
2021,Land BW,Ökologisch bewirtschaftete Fläche [%],13
2008,Land BW,Konventionell bewirtschaftete Fläche [%],93
2010,Land BW,Konventionell bewirtschaftete Fläche [%],93
2013,Land BW,Konventionell bewirtschaftete Fläche [%],92
2015,Land BW,Konventionell bewirtschaftete Fläche [%],92
2016,Land BW,Konventionell bewirtschaftete Fläche [%],89
2017,Land BW,Konventionell bewirtschaftete Fläche [%],89
2018,Land BW,Konventionell bewirtschaftete Fläche [%],88
2019,Land BW,Konventionell bewirtschaftete Fläche [%],86
2020,Land BW,Konventionell bewirtschaftete Fläche [%],87
2021,Land BW,Konventionell bewirtschaftete Fläche [%],87
