Year,Region,gruppe.gewicht,Value
2010,Enzkreis,Untergewicht [%],13
2011,Enzkreis,Untergewicht [%],13
2012,Enzkreis,Untergewicht [%],11
2013,Enzkreis,Untergewicht [%],12
2014,Enzkreis,Untergewicht [%],12
2015,Enzkreis,Untergewicht [%],9
2016,Enzkreis,Untergewicht [%],10
2017,Enzkreis,Untergewicht [%],11
2018,Enzkreis,Untergewicht [%],10
2019,Enzkreis,Untergewicht [%],11
2020,Enzkreis,Untergewicht [%],11
2010,Enzkreis,Normalgewicht [%],80
2011,Enzkreis,Normalgewicht [%],81
2012,Enzkreis,Normalgewicht [%],82
2013,Enzkreis,Normalgewicht [%],81
2014,Enzkreis,Normalgewicht [%],81
2015,Enzkreis,Normalgewicht [%],83
2016,Enzkreis,Normalgewicht [%],82
2017,Enzkreis,Normalgewicht [%],83
2018,Enzkreis,Normalgewicht [%],83
2019,Enzkreis,Normalgewicht [%],81
2020,Enzkreis,Normalgewicht [%],79
2010,Enzkreis,Übergewicht [%],7
2011,Enzkreis,Übergewicht [%],6
2012,Enzkreis,Übergewicht [%],7
2013,Enzkreis,Übergewicht [%],7
2014,Enzkreis,Übergewicht [%],7
2015,Enzkreis,Übergewicht [%],8
2016,Enzkreis,Übergewicht [%],8
2017,Enzkreis,Übergewicht [%],6
2018,Enzkreis,Übergewicht [%],7
2019,Enzkreis,Übergewicht [%],8
2020,Enzkreis,Übergewicht [%],9
