Year,Region,gruppe.beschaeftigt,Value
2005,Enzkreis,Männer,4
2006,Enzkreis,Männer,13
2007,Enzkreis,Männer,12
2008,Enzkreis,Männer,13
2009,Enzkreis,Männer,10
2010,Enzkreis,Männer,18
2011,Enzkreis,Männer,20
2012,Enzkreis,Männer,22
2013,Enzkreis,Männer,47
2014,Enzkreis,Männer,26
2015,Enzkreis,Männer,50
2016,Enzkreis,Männer,46
2017,Enzkreis,Männer,37
2018,Enzkreis,Männer,38
2019,Enzkreis,Männer,48
2020,Enzkreis,Männer,53
2005,Enzkreis,Frauen,15
2006,Enzkreis,Frauen,18
2007,Enzkreis,Frauen,20
2008,Enzkreis,Frauen,14
2009,Enzkreis,Frauen,20
2010,Enzkreis,Frauen,22
2011,Enzkreis,Frauen,30
2012,Enzkreis,Frauen,42
2013,Enzkreis,Frauen,36
2014,Enzkreis,Frauen,62
2015,Enzkreis,Frauen,70
2016,Enzkreis,Frauen,70
2017,Enzkreis,Frauen,69
2018,Enzkreis,Frauen,81
2019,Enzkreis,Frauen,91
2020,Enzkreis,Frauen,95
