Year,Region,gruppe.beschaeftigt,Value
2005,Enzkreis,Frauen,4
2006,Enzkreis,Frauen,4
2007,Enzkreis,Frauen,6
2008,Enzkreis,Frauen,4
2009,Enzkreis,Frauen,4
2010,Enzkreis,Frauen,5
2011,Enzkreis,Frauen,5
2012,Enzkreis,Frauen,3
2013,Enzkreis,Frauen,6
2014,Enzkreis,Frauen,6
2015,Enzkreis,Frauen,4
2016,Enzkreis,Frauen,5
2017,Enzkreis,Frauen,6
2018,Enzkreis,Frauen,3
2019,Enzkreis,Frauen,5
2020,Enzkreis,Frauen,7
2005,Enzkreis,Männer,18
2006,Enzkreis,Männer,12
2007,Enzkreis,Männer,12
2008,Enzkreis,Männer,10
2009,Enzkreis,Männer,16
2010,Enzkreis,Männer,18
2011,Enzkreis,Männer,12
2012,Enzkreis,Männer,14
2013,Enzkreis,Männer,22
2014,Enzkreis,Männer,19
2015,Enzkreis,Männer,9
2016,Enzkreis,Männer,19
2017,Enzkreis,Männer,14
2018,Enzkreis,Männer,16
2019,Enzkreis,Männer,15
2020,Enzkreis,Männer,15
