Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.19
2008,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,1.94
2009,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.29
2010,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.25
2011,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.39
2012,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.22
2013,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.24
2014,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.3
2015,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.28
2016,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.47
2017,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.3
2018,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.37
2019,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.36
2020,Enzkreis,Sterbefälle je 1.000 Einwohner/-innen,2.39
2007,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.24
2008,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.27
2009,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.26
2010,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.29
2011,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.36
2012,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2013,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.34
2014,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2015,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2016,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2017,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.29
2018,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2019,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
2020,Land BW,Sterbefälle je 1.000 Einwohner/-innen,2.35
