Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,33.2
2008,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,33.3
2009,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,30.5
2010,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,27.2
2011,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,39.4
2012,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,32.2
2013,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,20.9
2014,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,30.0
2015,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,23.6
2016,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,31.8
2017,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,23.0
2018,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,19.5
2019,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,15.8
2020,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Mädchen,10.4
2007,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,63.1
2008,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,50.6
2009,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,71.5
2010,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,57.9
2011,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,59.6
2012,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,60.9
2013,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,36.3
2014,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,25.5
2015,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,23.1
2016,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,35.4
2017,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,27.3
2018,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,16.6
2019,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,25.3
2020,Enzkreis,Alkoholbedingte Krankhausaufenthalte - Jungen,13.8
2007,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,34.0
2008,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,39.0
2009,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,37.6
2010,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,36.8
2011,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,38.2
2012,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,36.5
2013,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,35.5
2014,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,34.4
2015,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,31.0
2016,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,30.8
2017,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,32.6
2018,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,29.5
2019,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,30.2
2020,Land BW,Alkoholbedingte Krankhausaufenthalte - Mädchen,18.6
2007,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,54.8
2008,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,57.6
2009,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,62.6
2010,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,58.7
2011,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,60.3
2012,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,56.0
2013,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,47.2
2014,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,42.6
2015,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,40.4
2016,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,41.7
2017,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,40.6
2018,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,37.7
2019,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,35.3
2020,Land BW,Alkoholbedingte Krankhausaufenthalte - Jungen,22.8
