Indicator,Disaggregations,Number of disaggregations
#1-1,Region,1
#1-2-a,"Region, grupp.armut",2
#1-2-b,"Region, gruppe.beschaeftigt",2
#10-1,"Region, gruppe.beschaeftigt",2
#10-2,"Region, gruppe.beschaeftigt",2
#10-3,"Region, gruppe.beschaeftigt",2
#10-4,"Region, gruppe.beschaeftigt",2
#11-1-a,"Region, gruppe.beschaeftigt",2
#11-1-b,"Region, gruppe.beschaeftigt",2
#11-2,"Region, gruppe.beschaeftigt",2
#11-3,"Region, gruppe.beschaeftigt",2
#11-4,"Region, gruppe.beschaeftigt",2
#11-5,"Region, gruppe.beschaeftigt",2
#11-6,"Region, gruppe.beschaeftigt",2
#11-7,"Region, gruppe.beschaeftigt",2
#11-8,"Region, gruppe.beschaeftigt",2
#11-9,"Region, gruppe.beschaeftigt",2
#12-1,"Region, gruppe.beschaeftigt",2
#12-2,"Region, gruppe.beschaeftigt",2
#12-3,"Region, gruppe.beschaeftigt",2
#12-4,"Region, gruppe.beschaeftigt",2
#12-5,"Region, gruppe.beschaeftigt",2
#12-6,"Region, gruppe.beschaeftigt",2
#13-1-a,"Region, gruppe.beschaeftigt",2
#13-1-b,"Region, gruppe.beschaeftigt",2
#13-2,"Region, gruppe.beschaeftigt",2
#13-3,"Region, gruppe.beschaeftigt",2
#14-1,"Region, gruppe.beschaeftigt",2
#15-1,"Region, gruppe.beschaeftigt",2
#15-2,"Region, gruppe.beschaeftigt",2
#15-3,"Region, gruppe.beschaeftigt",2
#15-4,"Region, gruppe.beschaeftigt",2
#15-5,"Region, gruppe.beschaeftigt",2
#16-1,"Region, gruppe.beschaeftigt",2
#16-2,"Region, gruppe.beschaeftigt",2
#16-3,"Region, gruppe.beschaeftigt",2
#16-4,"Region, gruppe.beschaeftigt",2
#17-1,"Region, gruppe.beschaeftigt",2
#17-2,"Region, gruppe.beschaeftigt",2
#17-3,"Region, gruppe.beschaeftigt",2
#2-1,"Region, gruppe.gewicht",2
#2-2,"Region, gruppe.betrieb",2
#2-3,"Region, gruppe.stickstoffüberschuss",2
#3-1,"Region, gruppe.beschaeftigt",2
#3-2,"Region, gruppe.beschaeftigt",2
#3-3,"Region, gruppe.beschaeftigt",2
#3-4,"Region, gruppe.beschaeftigt",2
#3-5-a,"Region, gruppe.beschaeftigt",2
#3-5-b,"Region, gruppe.beschaeftigt",2
#3-5-c,"Region, gruppe.beschaeftigt",2
#3-6-a,"Region, gruppe.beschaeftigt",2
#3-6-b,"Region, gruppe.beschaeftigt",2
#3-6-c,"Region, gruppe.beschaeftigt",2
#3-7,"Region, gruppe.beschaeftigt",2
#3-8-a,"Region, gruppe.beschaeftigt",2
#3-8-b,"Region, gruppe.beschaeftigt",2
#4-1-a,"Region, gruppe.beschaeftigt",2
#4-1-b,"Region, gruppe.beschaeftigt",2
#4-2,"Region, gruppe.beschaeftigt",2
#4-3,"Region, gruppe.beschaeftigt",2
#4-4,"Region, gruppe.beschaeftigt",2
#4-5,"Region, gruppe.beschaeftigt",2
#4-6,"Region, gruppe.beschaeftigt",2
#4-7,"Region, gruppe.beschaeftigt",2
#4-8,"Region, gruppe.beschaeftigt",2
#5-1,"Region, gruppe.beschaeftigt",2
#5-2,"Region, gruppe.beschaeftigt",2
#5-3,"Region, gruppe.beschaeftigt",2
#5-4,"Region, gruppe.beschaeftigt",2
#6-1,"Region, gruppe.beschaeftigt",2
#6-2,"Region, gruppe.beschaeftigt",2
#7-1-a,"Region, gruppe.beschaeftigt",2
#7-1-b,"Region, gruppe.beschaeftigt",2
#7-2,"Region, gruppe.beschaeftigt",2
#7-3,"Region, gruppe.beschaeftigt",2
#8-1,"Region, gruppe.beschaeftigt",2
#8-2,"Region, gruppe.beschaeftigt",2
#8-3,"Region, gruppe.beschaeftigt",2
#8-4,"Region, gruppe.beschaeftigt",2
#9-1,"Region, gruppe.beschaeftigt",2
#9-2,"Region, gruppe.beschaeftigt",2
#9-3,"Region, gruppe.beschaeftigt",2
#9-4,"Region, gruppe.beschaeftigt",2
#9-5-a,"Region, gruppe.beschaeftigt",2
#9-5-b,"Region, gruppe.beschaeftigt",2
#9-6-a,"Region, gruppe.beschaeftigt",2
#9-6-b,"Region, gruppe.beschaeftigt",2
