Indicator,Disaggregation combinations using this value
#1-1,1
#1-2-a,2
#1-2-b,1
#10-1,2
#10-2,2
#10-3,2
#10-4,2
#11-1-a,2
#11-1-b,2
#11-2,2
#11-3,2
#11-4,2
#11-5,2
#11-6,2
#11-7,2
#11-8,2
#11-9,2
#12-1,2
#12-2,2
#12-3,2
#12-4,2
#12-5,2
#12-6,2
#13-1-a,2
#13-1-b,2
#13-2,2
#13-3,2
#14-1,2
#15-1,2
#15-2,2
#15-3,2
#15-4,2
#15-5,2
#16-1,2
#16-2,2
#16-3,2
#16-4,2
#17-1,2
#17-2,2
#17-3,2
#2-1,3
#2-2,2
#2-3,1
#3-1,2
#3-2,1
#3-3,2
#3-4,2
#3-5-a,2
#3-5-b,2
#3-5-c,1
#3-6-a,4
#3-6-b,4
#3-6-c,2
#3-7,1
#3-8-a,7
#3-8-b,6
#4-1-a,2
#4-1-b,2
#4-2,2
#4-3,2
#4-4,2
#4-5,2
#4-6,2
#4-7,2
#4-8,2
#5-1,2
#5-2,2
#5-3,2
#5-4,2
#6-1,2
#6-2,2
#7-1-a,2
#7-1-b,2
#7-2,2
#7-3,2
#8-1,2
#8-2,2
#8-3,2
#8-4,2
#9-1,2
#9-2,2
#9-3,2
#9-4,2
#9-5-a,2
#9-5-b,2
#9-6-a,2
#9-6-b,2
