Year,Region,gruppe.beschaeftigt,Value
2011,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),0.8
2012,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),0.9
2013,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.0
2014,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2015,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.2
2016,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2017,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2018,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2019,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.0
2020,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2011,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.1
2012,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.1
2013,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.3
2014,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.3
2015,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.5
2016,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2017,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2018,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2019,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2020,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
