Year,Region,gruppe.beschaeftigt,Value
2008,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,3
2009,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2010,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2011,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,5
2012,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2013,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2014,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2015,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,4
2016,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,1
2017,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2018,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2019,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2020,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
2021,Enzkreis,Personen mit IfSG-Meldung zu einer Maserninfektion,0
